Email ID,Subject,Workflow State,Business Process,Entities Count,Processing Time,Success
email-8ef42296-42ba-4e7d-90be-0db338a66daf,Insight PO 505729474 missing EU information,START_POINT,Order Management,2,8.37,True
email-caa27fb2-eb96-4a20-b007-3891e38263af,V#35565 BOs list 05/21/2025,START_POINT,Order Management,1,8.56,True
email-9bc600d9-a47a-4cef-8972-d05dea17b9ef,TD SYNNEX Daily Media Briefing for Wednesday, May ,START_POINT,Media Relations,2,8.97,True
email-9cc82b32-7e12-4012-b41a-83757a77f210,Re: Freight for PO 505571311,IN_PROGRESS,Order Management,1,7.76,True
email-ff0620c2-1900-4808-a12e-51db1a7ba6ea,RE: Quote for Laptops - US,WAITING,Quote Processing,2,13.72,True
email-0b7ae5b6-5246-49c5-aed5-c06e56c9f3a9,Sales EDI PO UPLOAD Alert (US),WAITING,Order Management,4,8.01,True
email-d534d622-7058-4422-9111-9f8c8fd249fc,RE: Getac S410 quote request ,START_POINT,Quote Processing,1,9.97,True
email-98dc5793-e04e-4597-8299-d2194105aff5,RE: 2nd OPEN CARRIER Synnex // deadline 04.24.2025,WAITING,Order Management,2,9.74,True
email-b69eaf2d-1c09-4051-9cb5-b1a707b7b707,RE: Poly prefix HPP - Back Order#162795700 / HPP-8,WAITING,Order Management,2,10.44,True
email-41bdb30a-ee78-4c20-9afa-5448275be868,RE: Logitech quote - Nielsen,IN_PROGRESS,Quote Processing,2,7.95,True
